Date,Indx,HC,RE,IT,Ind,Mat,CD,CS,Fin,Util,Eng,Com,Portfolio
2017-02-13,67413.95,68062.45,68302.41,67859.02,66973.87,67248.13,67515.64,67109.67,67418.45,67325.26,66167.41,66733.18,808129.44
2017-02-14,67605.7,68658.03,68073.12,68010.25,66891.39,67147.92,67642.34,67018.55,67710.03,67060.45,66654.53,66673.69,809146.0
2017-02-15,67928.9,69304.06,68057.31,68310.44,67213.94,67335.52,67945.57,67239.02,67956.07,67066.17,66486.39,67472.62,812316.0100000001
2017-02-16,67841.08,69329.1,68257.4,68450.49,67173.8,67332.56,67561.59,67291.9,68049.53,67454.16,66251.52,67624.17,812617.3000000002
2017-02-17,67907.26,69936.83,68333.5,68668.68,67027.22,67190.26,67712.3,67666.18,68049.74,67447.68,66027.88,67789.05,813756.58
2017-02-21,68417.72,70165.04,68861.24,69327.77,67392.2,67594.49,68019.81,67977.29,68174.8,67959.01,66296.7,68164.65,818350.7200000001
2017-02-22,68293.3,69185.11,68734.45,69159.98,67169.03,67250.46,67938.53,68044.35,68188.79,68018.14,65563.96,68195.11,815741.21
2017-02-23,68122.57,68745.9,68912.8,68889.88,66778.01,66564.13,67489.33,68162.83,68245.37,68496.45,65489.77,67831.18,813728.22
2017-02-24,68193.67,68874.29,69135.94,69048.07,66788.48,66279.03,67724.75,68039.63,68101.08,68931.69,64848.29,68035.57,814000.49
2017-02-27,68449.89,70138.19,69542.1,69178.14,67162.82,66267.25,67945.02,67899.98,68162.54,68834.53,64965.89,68437.83,816984.18
2017-02-28,67992.09,69548.4,69033.07,68220.23,66656.99,66058.11,67258.74,67640.25,67723.9,69000.02,64542.01,67680.16,811353.97
2017-03-01,67612.83,67612.83,67612.83,67612.83,67612.83,67612.83,67612.83,67612.83,67612.83,67612.83,67612.83,67612.83,811353.9599999998
2017-03-02,67125.75,67582.14,67174.77,67068.88,66965.68,66817.0,67621.55,67295.28,67054.16,67925.15,67131.77,67020.99,806783.1200000001
2017-03-03,67078.45,67972.22,66947.38,66914.41,66971.81,67210.11,67357.17,67364.47,67189.37,67741.72,67116.25,66978.47,806841.8299999998
2017-03-06,66779.39,67410.08,66589.91,66633.42,66645.09,66566.84,67037.06,67189.27,66883.9,67556.23,66992.98,66773.26,803057.4299999999
2017-03-07,66479.45,67097.12,66384.85,66696.47,66394.14,66040.36,66633.35,67016.59,66834.24,67413.64,66504.3,66467.6,799962.11
2017-03-08,66281.25,67196.29,65453.78,66734.85,66168.94,65761.48,66835.74,66914.07,66627.68,66566.72,65160.4,66351.55,796052.7499999999
2017-03-09,66139.11,67587.5,64850.93,66641.68,65830.16,65455.5,66543.46,66934.64,66581.08,66414.17,65005.19,66294.05,794277.47
2017-03-10,66407.26,67915.52,64900.44,66933.23,66287.65,65985.76,67071.45,67345.82,66630.0,66740.32,65138.13,66584.49,797940.07
2017-03-13,66526.32,68451.52,65092.2,67235.66,66431.21,66453.35,67264.02,67490.87,66847.46,66826.15,133163.18,66872.6,868654.5400000002
2017-03-14,66279.63,67826.34,64933.51,67038.71,66103.36,66060.77,67290.97,67508.9,66744.14,66762.0,132511.26,66661.33,865720.92
2017-03-15,66979.8,68507.87,65886.96,67542.38,67064.4,67208.07,67791.73,68083.91,66950.91,67618.7,133466.72,67282.95,874384.3999999999
2017-03-16,66970.2,68261.8,66012.72,67948.58,67258.28,67358.14,68208.71,68376.67,67234.42,67512.08,133831.54,67648.63,876621.77
2017-03-17,67053.44,68325.33,66267.76,68209.3,67544.57,67539.75,68339.24,68716.76,67403.74,68085.4,133893.45,67834.3,879213.04
2017-03-20,66821.43,68475.02,66083.71,68162.24,67310.64,67523.73,68052.96,68653.43,67145.07,67783.59,133509.59,67905.11,877426.5199999999
2017-03-21,65758.91,67001.69,65750.76,66878.5,66458.97,66576.05,67307.54,68442.78,65974.46,68124.68,132790.3,67478.47,868543.1099999999
2017-03-22,65779.99,67166.85,65741.19,67090.19,66335.12,66610.82,67307.11,68365.11,65708.66,68308.09,132561.83,67357.04,868332.0
2017-03-23,65888.45,67244.59,66082.33,67261.18,66609.1,66891.74,67813.69,68568.54,66003.75,68396.58,132566.51,67673.6,871000.0599999999
2017-03-24,65872.34,67685.55,66176.34,67512.68,66616.27,66468.28,67892.43,68519.15,65996.17,68679.17,132527.08,67823.06,871768.52
2017-03-27,65794.98,68477.85,65918.71,67673.57,66609.88,66688.26,67935.64,68637.68,66043.4,68786.44,132440.54,67934.0,872940.9500000002
2017-03-28,66281.07,68699.99,66217.74,67856.05,67154.61,67075.62,68544.32,68724.48,66423.25,69315.94,133270.13,68072.95,877636.15
2017-03-29,66429.95,69107.82,66427.9,68058.12,67277.53,67193.2,68846.43,69015.21,66406.26,69270.92,134188.77,68375.72,880597.8300000001
2017-03-30,66708.46,69146.3,66702.39,68207.52,67582.79,67327.05,68852.66,68823.05,66999.78,69105.01,134199.97,68872.76,882527.7400000001
2017-03-31,66729.0,69244.25,67010.0,68370.71,67733.82,67524.92,68984.94,68782.91,66954.24,69338.95,134511.5,68916.08,884101.32
2017-04-03,73675.11,73675.11,73675.11,73675.11,73675.11,73675.11,73675.11,73675.11,73675.11,73675.11,73675.11,73675.11,884101.32
2017-04-04,73666.07,73251.73,73828.4,73518.1,73624.46,73925.06,73239.65,73718.72,73658.68,73849.73,74000.13,74066.88,884347.6099999999
2017-04-05,73353.75,72411.37,73776.31,73130.75,73356.47,73593.89,73025.6,73643.98,73164.4,74084.13,73399.21,73744.02,880683.88
2017-04-06,73670.21,72471.61,74290.38,73529.35,73657.95,73900.38,73549.51,73891.46,73455.72,74133.59,74102.71,74395.79,885048.66
