TICKER,Sector,Industry
RELI,Financials,Insurance Brokers & Reinsurance
FLLIY,Consumer Discretionary,Leisure Products Textiles Apparel & Luxury
MYTHY,Industrials,Industrial Conglomerates
SBES,Real Estate,Real Estate
CDGLY,Industrials,Road & Rail
RASP,Health Care,Biotechnology Life Sciences
HMPQ,Consumer Staples,Household & Personal Products
JAPSY,Industrials,Airlines
FSGCY,Utilities,Multi-Utilities Water Utilities Power
DLUEY,Industrials,Commercial & Professional Services
SIETY,Consumer Discretionary,Distributors Multiline Retail
BNTC,Health Care,Biotechnology Life Sciences
EDNMY,Information Technology,Internet Software & IT Services
CAFS,Consumer Discretionary,Specialty Stores
IFBC,Consumer Discretionary,Restaurants
VNRX,Health Care,Health Crare Equipment & Technology
ENMPY,Information Technology,Computers Electronics
CLLS,Health Care,Biotechnology Life Sciences
SEDG,Information Technology,Semiconductor Equipment
VRAY,Health Care,Health Crare Equipment & Technology
TANH,Materials,Chemicals
MXMG,Consumer Discretionary,Hotels Leisure & Consumer Services
NXRT,Real Estate,Real Estate
IGEN,Information Technology,Communications Equipment
GDDY,Information Technology,Internet Software & IT Services
KRNT,Industrials,Industrial Machinery
MFH,Information Technology,Software
ITEGY,Communication Services,Media
RKUNY,Consumer Discretionary,Internet & Catalog Retail
RNLSY,Consumer Discretionary,Auotomobiles & Components
CODYY,Industrials,Building Products
OPGN,Health Care,Biotechnology Life Sciences
WEWA,Consumer Discretionary,Household Durables (non-Homebuilding)
BPMC,Health Care,Biotechnology Life Sciences
BSM,Energy,Oil & Gas Exploration & Production 
FRTM,Consumer Staples,Beverages Tobacco
HTGM,Health Care,Health Crare Equipment & Technology
IDTYD,Information Technology,Software
MPGPY,Industrials,Commercial & Professional Services
PZG,Materials,Precious Metals Gold Mining 
GWHP,Energy,Oil & Gas Exploration & Production 
CDTX,Health Care,Biotechnology Life Sciences
KDNY,Health Care,Biotechnology Life Sciences
XBIT,Health Care,Biotechnology Life Sciences
DPWW,Health Care,Health Care Providers (non-HMO)
VIRT,Financials,Diversified Financials
PRTY,Consumer Discretionary,Specialty Stores
KMPH,Health Care,Pharmaceuticals
ETSY,Consumer Discretionary,Internet & Catalog Retail
AEXAY,Information Technology,Internet Software & IT Services
HNORY,Consumer Discretionary,Distributors Multiline Retail
CKHUY,Industrials,Industrial Conglomerates
CTIHY,Financials,Life Health & Multi-line Insurance
CIIHY,Financials,Diversified Financials
NSA,Real Estate,Real Estate
CNGO,Consumer Discretionary,Hotels Leisure & Consumer Services
EVA,Energy,Coal & Consumable Fuels 
BKI,Information Technology,Internet Software & IT Services
CHCT,Real Estate,Real Estate
BZUN,Consumer Discretionary,Internet & Catalog Retail
SHOP,Information Technology,Internet Software & IT Services
LWEL,Health Care,Pharmaceuticals
COLL,Health Care,Pharmaceuticals
ADAP,Health Care,Biotechnology Life Sciences
LIFE,Health Care,Biotechnology Life Sciences
BVXV,Health Care,Pharmaceuticals
TLCC,Consumer Staples,Household & Personal Products
STKS,Consumer Discretionary,Restaurants
RKDA,Consumer Staples,Food Products
FTAI,Industrials,Trading Companies & Distributors
GBCEY,Real Estate,Real Estate
SJMHY,Consumer Discretionary,Hotels Leisure & Consumer Services
CRBJY,Real Estate,Real Estate
CDRBQ,Information Technology,Software
SOUHY,Materials,Precious Metals Gold Mining 
UCLE,Industrials,Electrical Equipment
APLE,Real Estate,Real Estate
ADAD,Consumer Discretionary,Distributors Multiline Retail
ALPN,Health Care,Biotechnology Life Sciences
NEMD,Health Care,Health Crare Equipment & Technology
UNVR,Industrials,Trading Companies & Distributors
TILCF,Financials,Insurance Brokers & Reinsurance
